证券代码,买入日期,买入价格,买入数量,卖出日期,卖出价格,卖出数量,净利润
000620,20200303,3.300,5500,20200302,3.320,-5500,87.36
000620,20200303,3.310,5000,20200302,3.330,-5000,79.36
000620,20200310,3.180,1200,20200310,3.220,-1200,43.21
000620,20200311,3.250,5500,20200311,3.270,-5500,87.7
000620,20200319,2.870,6800,20200319,2.890,-6800,111.65
000620,20200330,2.840,1000,20200324,2.860,-1000,16.45
000620,20200330,2.850,1000,20200324,2.870,-1000,16.43
000620,20200325,2.880,1000,20200325,2.900,-1000,16.4
000620,20200325,2.880,1000,20200325,2.900,-1000,16.4
000620,20200326,2.880,1000,20200325,2.900,-1000,16.4
000620,20200326,2.890,1000,20200325,2.910,-1000,16.39
000620,20200326,2.900,1000,20200325,2.920,-1000,16.38
000620,20200326,2.910,1000,20200325,2.930,-1000,16.37
000620,20200326,2.920,1000,20200325,2.940,-1000,16.36
000620,20200326,2.920,1000,20200325,2.950,-1000,26.34
000620,20200326,2.920,1000,20200325,2.960,-1000,36.33
000620,20200326,2.920,1000,20200325,2.970,-1000,46.32
000620,20200326,2.900,1000,20200326,2.920,-1000,16.38
000620,20200326,2.910,1000,20200326,2.930,-1000,16.37
000620,20200326,2.920,1000,20200326,2.940,-1000,16.36
000620,20200326,2.930,1000,20200326,2.950,-1000,16.34
000620,20200326,2.920,1000,20200326,2.940,-1000,16.36
000620,20200326,2.890,1000,20200326,2.910,-1000,16.39
000620,20200330,2.870,1000,20200327,2.920,-1000,46.38
000620,20200327,2.910,1000,20200327,2.930,-1000,16.37
000620,20200330,2.880,1000,20200327,2.930,-1000,46.37
000620,20200327,2.920,1000,20200327,2.940,-1000,16.36
000620,20200327,2.930,1000,20200327,2.950,-1000,16.34
000620,20200330,2.840,1000,20200330,2.860,-1000,16.45
000620,20200331,2.830,1000,20200330,2.850,-1000,16.46
