证券代码,买入日期,买入价格,买入数量,卖出日期,卖出价格,卖出数量,净利润
000620,20200402,2.830,1000,20200402,2.850,-1000,16.46
000620,20200403,2.840,1000,20200402,2.860,-1000,16.45
000620,20200403,2.850,1000,20200402,2.870,-1000,16.43
000620,20200403,2.850,1000,20200403,2.870,-1000,16.43
000620,20200403,2.850,1000,20200403,2.870,-1000,16.43
000620,20200403,2.880,1000,20200403,2.900,-1000,16.4
000620,20200403,2.890,1000,20200403,2.910,-1000,16.39
000620,20200403,2.900,1000,20200403,2.920,-1000,16.38
000620,20200407,2.980,1000,20200407,3.000,-1000,16.28
000620,20200407,3.010,1000,20200407,3.030,-1000,16.25
000620,20200407,3.030,1000,20200407,3.050,-1000,16.22
000620,20200408,3.020,1000,20200408,3.040,-1000,16.24
000620,20200408,3.030,1000,20200408,3.050,-1000,16.22
000620,20200408,3.050,1000,20200408,3.070,-1000,16.19
000620,20200408,3.060,1000,20200408,3.080,-1000,16.18
000620,20200408,3.070,1000,20200408,3.090,-1000,16.17
000620,20200408,3.080,1000,20200408,3.100,-1000,16.16
000620,20200408,3.090,1000,20200408,3.110,-1000,16.15
000620,20200408,3.090,1000,20200408,3.110,-1000,16.15
000620,20200408,3.060,1000,20200408,3.080,-1000,16.18
000620,20200408,3.060,1000,20200408,3.080,-1000,16.18
000620,20200409,3.070,1000,20200408,3.090,-1000,16.17
000620,20200409,3.080,1000,20200408,3.100,-1000,16.16
000620,20200409,3.090,1000,20200408,3.110,-1000,16.15
000620,20200409,3.090,1000,20200409,3.110,-1000,16.15
000620,20200409,3.100,1000,20200409,3.120,-1000,16.14
000620,20200409,3.100,1000,20200409,3.120,-1000,16.14
000620,20200409,3.110,1000,20200409,3.130,-1000,16.13
000620,20200409,3.120,1000,20200409,3.140,-1000,16.12
000620,20200409,3.110,1000,20200409,3.130,-1000,16.13
000620,20200408,3.020,1000,20200407,3.040,-1000,16.24
000620,20200410,3.030,1000,20200408,3.050,-1000,16.22
000620,20200410,3.040,1000,20200408,3.060,-1000,16.21
000620,20200410,3.050,1000,20200408,3.070,-1000,16.19
000620,20200410,3.060,1000,20200408,3.080,-1000,16.18
000620,20200410,3.070,1000,20200409,3.090,-1000,16.17
000620,20200410,3.080,1000,20200409,3.100,-1000,16.16
000620,20200410,3.090,1000,20200409,3.110,-1000,16.15
000620,20200410,3.100,1000,20200409,3.120,-1000,16.14
000620,20200410,3.070,1000,20200410,3.090,-1000,16.17
000620,20200410,3.080,1000,20200410,3.100,-1000,16.16
000620,20200410,3.090,1000,20200410,3.110,-1000,16.15
000620,20200410,3.080,1000,20200410,3.100,-1000,16.16
000620,20200410,3.090,1000,20200410,3.110,-1000,16.15
000620,20200413,2.990,1000,20200407,3.010,-1000,16.27
000620,20200413,3.000,1000,20200407,3.020,-1000,16.26
000620,20200413,3.010,1000,20200407,3.030,-1000,16.25
000620,20200413,3.020,1000,20200408,3.040,-1000,16.24
000620,20200413,3.030,1000,20200410,3.050,-1000,16.22
000620,20200413,3.030,1000,20200410,3.060,-1000,26.21
000620,20200413,3.030,1000,20200410,3.070,-1000,36.2
000620,20200413,3.030,1000,20200410,3.080,-1000,46.19
000620,20200413,3.030,1000,20200410,3.090,-1000,56.18
000620,20200413,2.990,1000,20200413,3.010,-1000,16.27
000620,20200413,2.990,1000,20200413,3.010,-1000,16.27
000620,20200413,3.000,1000,20200413,3.020,-1000,16.26
000620,20200413,3.000,1000,20200413,3.020,-1000,16.26
000620,20200413,3.030,1000,20200413,3.050,-1000,16.22
000620,20200413,3.040,1000,20200413,3.060,-1000,16.21
000620,20200413,3.050,1000,20200413,3.070,-1000,16.19
000620,20200413,3.060,1000,20200413,3.080,-1000,16.18
000620,20200413,3.070,1000,20200413,3.090,-1000,16.17
000620,20200413,3.080,1000,20200413,3.100,-1000,16.16
000620,20200413,3.090,1000,20200413,3.110,-1000,16.15
000620,20200414,3.000,1000,20200413,3.020,-1000,16.26
000620,20200414,3.010,1000,20200413,3.030,-1000,16.25
000620,20200414,3.020,1000,20200413,3.040,-1000,16.24
000620,20200414,3.010,1000,20200414,3.030,-1000,16.25
000620,20200414,3.020,1000,20200414,3.040,-1000,16.24
000620,20200414,3.010,1000,20200414,3.030,-1000,16.25
000620,20200415,2.950,1000,20200407,2.970,-1000,16.31
000620,20200415,2.960,1000,20200407,2.980,-1000,16.3
000620,20200415,2.970,1000,20200407,2.990,-1000,16.29
000620,20200415,2.980,1000,20200407,3.000,-1000,16.28
000620,20200415,2.980,1000,20200415,3.000,-1000,16.28
000620,20200415,2.990,1000,20200413,3.010,-1000,16.27
000620,20200416,2.870,1000,20200403,2.890,-1000,16.41
000620,20200416,2.880,1000,20200403,2.900,-1000,16.4
000620,20200416,2.890,1000,20200403,2.910,-1000,16.39
000620,20200416,2.900,1000,20200403,2.920,-1000,16.38
000620,20200416,2.910,1000,20200403,2.930,-1000,16.37
000620,20200416,2.920,1000,20200407,2.940,-1000,16.36
000620,20200416,2.930,1000,20200407,2.950,-1000,16.34
000620,20200416,2.935,1000,20200407,2.960,-1000,21.33
000620,20200416,2.930,1000,20200415,2.970,-1000,36.32
000620,20200416,2.890,1000,20200416,2.910,-1000,16.39
000620,20200416,2.900,1000,20200416,2.920,-1000,16.38
000620,20200416,2.910,1000,20200416,2.930,-1000,16.37
000620,20200416,2.890,1000,20200416,2.910,-1000,16.39
